,Compound,Negative,Neutral,Positive,Source,Time,Tweet,Tweets Ago
0,0.0772,0.0,0.843,0.157,BBCNews,Mon Apr 09 23:53:09 +0000 2018,Record number of organ donors in 2017 https://t.co/ERPMBaRUsl,1
1,0.743,0.0,0.488,0.512,BBCNews,Mon Apr 09 23:44:05 +0000 2018,Antarctic expedition hopes for Ernest Shackleton bonus https://t.co/OoQW2ongwC,2
2,0.8176,0.0,0.452,0.548,BBCNews,Mon Apr 09 22:39:28 +0000 2018,"Good Friday Agreement played up, suggests Labour's Barry Gardiner https://t.co/MBiz78wr7m",3
3,-0.8519,0.48,0.52,0.0,BBCNews,Mon Apr 09 21:43:45 +0000 2018,"Tuesday's Mail: ""May’s war on prostate cancer"" (via @hendopolis) #tomorrowspaperstoday https://t.co/budDbHK7lu",4
4,-0.3612,0.263,0.615,0.123,BBCNews,Mon Apr 09 21:40:28 +0000 2018,"Tuesday's Times: ""May under pressure to join strikes on Assad"" (via @hendopolis) #tomorrowspaperstoday https://t.co/RYQOBdXAgJ",5
5,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 21:40:22 +0000 2018,"Tuesday's Mirror: ""£250 million tax bill for 129 Prem stars"" (via @hendopolis) #tomorrowspaperstoday https://t.co/laXhqisTUw",6
6,-0.3818,0.245,0.652,0.103,BBCNews,Mon Apr 09 21:40:13 +0000 2018,"Tuesday's Guardian: ""'Heinous' Syria attack could spark US military response, warns Trump"" (via @hendopolis)… https://t.co/H7D4VOvWkv",7
7,-0.6486,0.381,0.619,0.0,BBCNews,Mon Apr 09 21:40:07 +0000 2018,"Tuesday's Sun: ""You’re dead"" #tomorrowspaperstoday (via @hendopolis) https://t.co/TQpEoVbzdB",8
8,-0.296,0.167,0.833,0.0,BBCNews,Mon Apr 09 21:24:38 +0000 2018,"Tuesday's Telegraph: ""'Act now to stop chemical warfare'"" (via @hendopolis) #tomorrowspaperstoday https://t.co/GqHfSnjcgn",9
9,-0.6597,0.286,0.714,0.0,BBCNews,Mon Apr 09 21:19:39 +0000 2018,"Tuesday's i: ""UK plan to beat prostate cancer"" (via @hendopolis) #tomorrowspaperstoday https://t.co/pNt4PNOh8e",10
10,-0.4019,0.213,0.787,0.0,BBCNews,Mon Apr 09 21:19:35 +0000 2018,"Tuesday's Express: ""Revealed: shocking treatment of diabetics"" (via @hendopolis) #tomorrowspaperstoday https://t.co/1OKXl4NpkF",11
11,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 21:07:56 +0000 2018,"Tuesday's Metro: ""Shrine to burglar... outside OAP's home"" (via @hendopolis) #tomorrowspaperstoday https://t.co/2nWGX6Te7V",12
12,-0.3182,0.141,0.859,0.0,BBCNews,Mon Apr 09 21:07:48 +0000 2018,"Tuesday's FT: ""Russian stocks battered by new US sanctions and Syria conflict"" (via @hendopolis)… https://t.co/ciZYUqNq6c",13
13,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 20:34:30 +0000 2018,"RT @BBCBreaking: FBI raids offices of President Trump's lawyer Michael Cohen partly over payments made to porn star, US media say https://t…",14
14,-0.6597,0.474,0.526,0.0,BBCNews,Mon Apr 09 20:33:33 +0000 2018,Three Britons injured in Malta bus crash https://t.co/32aIPZZQG1,15
15,-0.7845,0.345,0.655,0.0,BBCNews,Mon Apr 09 20:08:24 +0000 2018,RT @BBCBreaking: Russia and the US exchange fierce words at UN over suspected Syria chemical weapons attack https://t.co/mRIs1pyHPx,16
16,-0.2732,0.259,0.741,0.0,BBCNews,Mon Apr 09 18:44:47 +0000 2018,Schools 'to drop gathering nationality data' https://t.co/4Z80G1dJVT,17
17,-0.3182,0.204,0.796,0.0,BBCNews,Mon Apr 09 17:33:37 +0000 2018,Olympic rower Helen Glover announces she has lost twin https://t.co/Dej8mUmaqB,18
18,-0.2023,0.205,0.795,0.0,BBCNews,Mon Apr 09 16:58:41 +0000 2018,Man charged over 'racist' letter to MSP https://t.co/M9YlQdZTjE,19
19,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 16:58:00 +0000 2018,RT @davidshukmanbbc: Incredible scale of cargo ships. Watch our story on shipping and climate change on #BBCNewsSix https://t.co/YaZjm1qv76,20
20,0.0772,0.0,0.843,0.157,BBCNews,Mon Apr 09 23:53:09 +0000 2018,Record number of organ donors in 2017 https://t.co/ERPMBaRUsl,21
21,0.743,0.0,0.488,0.512,BBCNews,Mon Apr 09 23:44:05 +0000 2018,Antarctic expedition hopes for Ernest Shackleton bonus https://t.co/OoQW2ongwC,22
22,0.8176,0.0,0.452,0.548,BBCNews,Mon Apr 09 22:39:28 +0000 2018,"Good Friday Agreement played up, suggests Labour's Barry Gardiner https://t.co/MBiz78wr7m",23
23,-0.8519,0.48,0.52,0.0,BBCNews,Mon Apr 09 21:43:45 +0000 2018,"Tuesday's Mail: ""May’s war on prostate cancer"" (via @hendopolis) #tomorrowspaperstoday https://t.co/budDbHK7lu",24
24,-0.3612,0.263,0.615,0.123,BBCNews,Mon Apr 09 21:40:28 +0000 2018,"Tuesday's Times: ""May under pressure to join strikes on Assad"" (via @hendopolis) #tomorrowspaperstoday https://t.co/RYQOBdXAgJ",25
25,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 21:40:22 +0000 2018,"Tuesday's Mirror: ""£250 million tax bill for 129 Prem stars"" (via @hendopolis) #tomorrowspaperstoday https://t.co/laXhqisTUw",26
26,-0.3818,0.245,0.652,0.103,BBCNews,Mon Apr 09 21:40:13 +0000 2018,"Tuesday's Guardian: ""'Heinous' Syria attack could spark US military response, warns Trump"" (via @hendopolis)… https://t.co/H7D4VOvWkv",27
27,-0.6486,0.381,0.619,0.0,BBCNews,Mon Apr 09 21:40:07 +0000 2018,"Tuesday's Sun: ""You’re dead"" #tomorrowspaperstoday (via @hendopolis) https://t.co/TQpEoVbzdB",28
28,-0.296,0.167,0.833,0.0,BBCNews,Mon Apr 09 21:24:38 +0000 2018,"Tuesday's Telegraph: ""'Act now to stop chemical warfare'"" (via @hendopolis) #tomorrowspaperstoday https://t.co/GqHfSnjcgn",29
29,-0.6597,0.286,0.714,0.0,BBCNews,Mon Apr 09 21:19:39 +0000 2018,"Tuesday's i: ""UK plan to beat prostate cancer"" (via @hendopolis) #tomorrowspaperstoday https://t.co/pNt4PNOh8e",30
30,-0.4019,0.213,0.787,0.0,BBCNews,Mon Apr 09 21:19:35 +0000 2018,"Tuesday's Express: ""Revealed: shocking treatment of diabetics"" (via @hendopolis) #tomorrowspaperstoday https://t.co/1OKXl4NpkF",31
31,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 21:07:56 +0000 2018,"Tuesday's Metro: ""Shrine to burglar... outside OAP's home"" (via @hendopolis) #tomorrowspaperstoday https://t.co/2nWGX6Te7V",32
32,-0.3182,0.141,0.859,0.0,BBCNews,Mon Apr 09 21:07:48 +0000 2018,"Tuesday's FT: ""Russian stocks battered by new US sanctions and Syria conflict"" (via @hendopolis)… https://t.co/ciZYUqNq6c",33
33,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 20:34:30 +0000 2018,"RT @BBCBreaking: FBI raids offices of President Trump's lawyer Michael Cohen partly over payments made to porn star, US media say https://t…",34
34,-0.6597,0.474,0.526,0.0,BBCNews,Mon Apr 09 20:33:33 +0000 2018,Three Britons injured in Malta bus crash https://t.co/32aIPZZQG1,35
35,-0.7845,0.345,0.655,0.0,BBCNews,Mon Apr 09 20:08:24 +0000 2018,RT @BBCBreaking: Russia and the US exchange fierce words at UN over suspected Syria chemical weapons attack https://t.co/mRIs1pyHPx,36
36,-0.2732,0.259,0.741,0.0,BBCNews,Mon Apr 09 18:44:47 +0000 2018,Schools 'to drop gathering nationality data' https://t.co/4Z80G1dJVT,37
37,-0.3182,0.204,0.796,0.0,BBCNews,Mon Apr 09 17:33:37 +0000 2018,Olympic rower Helen Glover announces she has lost twin https://t.co/Dej8mUmaqB,38
38,-0.2023,0.205,0.795,0.0,BBCNews,Mon Apr 09 16:58:41 +0000 2018,Man charged over 'racist' letter to MSP https://t.co/M9YlQdZTjE,39
39,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 16:58:00 +0000 2018,RT @davidshukmanbbc: Incredible scale of cargo ships. Watch our story on shipping and climate change on #BBCNewsSix https://t.co/YaZjm1qv76,40
40,-0.4767,0.256,0.744,0.0,BBCNews,Mon Apr 09 16:57:03 +0000 2018,"Home Office investigates personal documents sent to wrong address
https://t.co/BTLtt6UGNJ",41
41,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 16:34:45 +0000 2018,Rise in numbers of Britons becoming EU citizens in 2016 https://t.co/sxekW9QVaM,42
42,-0.296,0.216,0.784,0.0,BBCNews,Mon Apr 09 16:11:06 +0000 2018,Hither Green burglary suspect hunted by Met Police https://t.co/4g4JZzxXsd,43
43,-0.4215,0.259,0.741,0.0,BBCNews,Mon Apr 09 14:41:54 +0000 2018,Bristol Airport parking firm 'fails to return cars' https://t.co/s0Kdu7IO7E,44
44,0.4215,0.0,0.823,0.177,BBCNews,Mon Apr 09 13:31:05 +0000 2018,Royal wedding: Prince Harry and Meghan Markle ask for charity donations not gifts https://t.co/vJIiZxlvG1,45
45,0.5719,0.0,0.844,0.156,BBCNews,Mon Apr 09 13:28:19 +0000 2018,"RT @BBC_HaveYourSay: Are you getting married on the day of the #RoyalWedding on May 19? 

Maybe you are... 
celebrating a multicultural or…",46
46,-0.7506,0.516,0.484,0.0,BBCNews,Mon Apr 09 13:21:49 +0000 2018,Theresa May condemns 'barbaric attack' in Syria https://t.co/chRytcTHjm,47
47,-0.92,0.483,0.517,0.0,BBCNews,Mon Apr 09 13:17:08 +0000 2018,"Prime Minister @theresa_may says UK ""utterly condemns use of chemical weapons"" following Douma poison gas attack, a… https://t.co/aEvlAGxUBj",48
48,-0.4215,0.318,0.682,0.0,BBCNews,Mon Apr 09 13:09:17 +0000 2018,Durham police criticised over 'crude' profiling https://t.co/QXDXd1ndO4,49
49,0.0258,0.0,0.932,0.068,BBCNews,Mon Apr 09 12:54:19 +0000 2018,"How was information from @facebook users handled by Cambridge Analytica, and why does it matter? https://t.co/sUrGSp1QWE",50
50,0.3612,0.095,0.747,0.158,BBCNews,Mon Apr 09 12:42:58 +0000 2018,"RT @BBCSport: Day 5 - Commonwealth Games 
#GC2018 

Akani Simbine shocked Yohan Blake to win the men's 100m, with Michelle-Lee Ahye making…",51
51,0.4019,0.0,0.722,0.278,BBCNews,Mon Apr 09 12:25:42 +0000 2018,Sir Nick Clegg: Breakaway party 'highly likely' https://t.co/KJUCDQEmc0,52
52,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 11:40:15 +0000 2018,Air traffic controller sickness forces Gatwick Airport runway to close https://t.co/4LZW2ePzFm,53
53,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 11:38:44 +0000 2018,"Home Secretary @AmberRuddHR calls on social media sites to take action and ""not host content linked to gang violenc… https://t.co/DSAtiYpJHJ",54
54,-0.7351,0.279,0.721,0.0,BBCNews,Mon Apr 09 11:27:57 +0000 2018,Funding announced for 'prevention programmes' for young people at risk of getting involved in violence - Home Secre… https://t.co/yHAWEpVeBR,55
55,-0.0717,0.109,0.794,0.097,BBCNews,Mon Apr 09 11:25:20 +0000 2018,"""I stand fully behind stop and search and I see it as a vital tool for the police"" 

Home Secretary @AmberRuddHR… https://t.co/Y5YiyLT4e1",56
56,0.0772,0.0,0.939,0.061,BBCNews,Mon Apr 09 11:23:13 +0000 2018,"""We will focus on reducing the number of people who take drugs"" 

Home Secretary @AmberRuddHR on new strategy for d… https://t.co/qNgLwVJujf",57
57,-0.3089,0.117,0.883,0.0,BBCNews,Mon Apr 09 10:55:32 +0000 2018,Evidence does not support claim of fewer police officers - Home Secretary @AmberRuddHR announcing new measures to t… https://t.co/wjKF0fVJNE,58
58,0.1779,0.0,0.841,0.159,BBCNews,Mon Apr 09 10:35:45 +0000 2018,Four people in 'unbelievable' escape as wood skewers car https://t.co/zMnaUuWA2j,59
59,0.6369,0.0,0.574,0.426,BBCNews,Mon Apr 09 10:35:45 +0000 2018,Loyalist paramilitary groups 'to support rule of law' https://t.co/c4XNVhCoGl,60
60,-0.5267,0.386,0.614,0.0,BBCNews,Mon Apr 09 10:18:50 +0000 2018,Boy dies after falling ill in Edinburgh street https://t.co/P8cNqWyFwV,61
61,-0.4767,0.129,0.871,0.0,BBCNews,Mon Apr 09 09:55:49 +0000 2018,RT @BBCEngland: A council introduces fines of £80 for anyone caught feeding pigeons in a town centre after the birds were blamed for damagi…,62
62,-0.6249,0.177,0.823,0.0,BBCNews,Mon Apr 09 09:55:38 +0000 2018,"RT @VictoriaLIVE: Children as young as 3 years old should have lessons to tackle gang violence - our debate panel suggests.

https://t.co/G…",63
63,-0.4767,0.344,0.48,0.176,BBCNews,Mon Apr 09 09:50:03 +0000 2018,Cassie Hayes: Man admits murdering travel agent https://t.co/dYiJhHJjMm,64
64,-0.9153,0.41,0.59,0.0,BBCNews,Mon Apr 09 09:35:49 +0000 2018,"RT @VictoriaLIVE: A devastated mum describes the reality of knife crime - the heartbroken families left behind.

See our film &gt;&gt; https://t.…",65
65,0.3595,0.0,0.898,0.102,BBCNews,Mon Apr 09 09:33:01 +0000 2018,"RT @BBCSport: World record alert! 🚨

With her first throw, Holly Robinson sets a new record of 43.32m in the women's F47 javelin.

The prev…",66
66,0.5859,0.0,0.833,0.167,BBCNews,Mon Apr 09 09:32:57 +0000 2018,"RT @BBCSport: 🥈 It's silver for Sarah-Jane Perry.

What a nail-biting finish to an amazing match. 

Joelle King becomes New Zealand's first…",67
67,-0.765,0.452,0.548,0.0,BBCNews,Mon Apr 09 09:02:24 +0000 2018,One man hurt after 'partial building collapse' in Aberdeen https://t.co/7SblVoVGzo,68
68,0.7959,0.0,0.738,0.262,BBCNews,Mon Apr 09 08:57:32 +0000 2018,"RT @BBCSportWales: A first gymnastics medal for Wales at the Gold Coast!

Latalia Bevan wins silver in the women's floor exercise

More her…",69
69,0.3595,0.0,0.884,0.116,BBCNews,Mon Apr 09 08:57:14 +0000 2018,"RT @BBCSport: 🏴󠁧󠁢󠁥󠁮󠁧󠁿 It's bronze for England!

The men's table tennis team join the women in claiming bronze.

#GC2018 https://t.co/NwnVMx…",70
70,-0.6124,0.417,0.583,0.0,BBCNews,Mon Apr 09 08:11:46 +0000 2018,Toddler dies and mother critical in Coventry crash https://t.co/tNZIbd0O8A,71
71,-0.6486,0.381,0.619,0.0,BBCNews,Mon Apr 09 08:11:46 +0000 2018,Man shot dead by police in Romford https://t.co/tgCIVIwE8w,72
72,-0.5859,0.407,0.593,0.0,BBCNews,Mon Apr 09 08:08:59 +0000 2018,Man charged after pregnant mum attacked by burglar https://t.co/Jdj03Tqp2y,73
73,0.872,0.0,0.68,0.32,BBCNews,Mon Apr 09 07:48:12 +0000 2018,"RT @BBCSport: He's done it.

England's Nile Wilson wins his third gold medal of #GC2018.

The horizontal bar takes his medal tally to five…",74
74,0.6115,0.0,0.852,0.148,BBCNews,Mon Apr 09 07:48:00 +0000 2018,"RT @BBCSport: More success for England in the horizontal bar.

James Hall takes silver to take his tally to three medals for #GC2018. https…",75
75,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 07:37:11 +0000 2018,"RT @BBCSport: 📢 More live sport coming up!

England are about to face Australia in the women's basketball.🏀

Watch all the LIVE action here…",76
76,0.4767,0.0,0.876,0.124,BBCNews,Mon Apr 09 07:37:07 +0000 2018,"RT @BBCSport: England claimed a bronze medal in the badminton mixed team event, seeing off Singapore to take a place on the podium.
More: h…",77
77,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 06:25:35 +0000 2018,"RT @BBCSport: Commonwealth Games #GC2018

So far on Day 5 
England 🥇🥈🥈🥉🥉🥉
Scotland 🥈🥉
Wales 🥇🥉
Northern Ireland 

The home nations gymnasts…",78
78,0.3612,0.0,0.696,0.304,BBCNews,Mon Apr 09 03:52:05 +0000 2018,Harriet Harman accepts Tory MP Kemi Badenoch's hacking apology https://t.co/n3WPSFxiL9,79
79,0.4939,0.0,0.738,0.262,BBCNews,Mon Apr 09 02:29:28 +0000 2018,"Care savings limit in Wales is raised to £40,000 https://t.co/OTGLs9qHm6",80
80,0.0,0.0,1.0,0.0,BBCNews,Mon Apr 09 02:26:43 +0000 2018,Film urges CPR to the tune of Proclaimers' hit '500 miles' https://t.co/JGKv9NaCo2,81
81,-0.743,0.441,0.559,0.0,BBCNews,Mon Apr 09 02:26:43 +0000 2018,"Police cuts 'likely contributed' to violence rise, document says https://t.co/AeBmq1Ys9d",82
82,-0.3818,0.272,0.556,0.173,BBCNews,Sun Apr 08 23:44:27 +0000 2018,"Prostate cancer: Four in 10 cases diagnosed late, charity says https://t.co/JBseylXTTJ",83
83,-0.7717,0.489,0.511,0.0,BBCNews,Sun Apr 08 18:48:06 +0000 2018,Two men dead after Edgware 'carbon monoxide leak' https://t.co/RLLdCv2WM7,84
84,0.7003,0.0,0.746,0.254,BBCNews,Sun Apr 08 18:20:16 +0000 2018,"RT @BBCSport: Day 4 - Commonwealth Games #GC2018 

Rhys McClenaghan secured Northern Ireland's first medal of the 2018 Commonwealth Games 🏅…",85
85,-0.872,0.553,0.447,0.0,BBCNews,Sun Apr 08 18:11:22 +0000 2018,"Hackney stabbing: Second stab death suspect 'at large', police say https://t.co/UBc0z1ANNG",86
86,0.0,0.0,1.0,0.0,BBCNews,Sun Apr 08 15:51:58 +0000 2018,RT @BBC_HaveYourSay: Are you coming to Windsor to watch the #RoyalWedding in May? Where are you travelling from? Would you consider yoursel…,87
87,-0.4588,0.231,0.769,0.0,BBCNews,Sun Apr 08 15:46:10 +0000 2018,Sunday Times' Rod Liddell 'mocks Wales' over Severn crossing renaming https://t.co/2hok9ikQQi,88
88,-0.5106,0.323,0.677,0.0,BBCNews,Sun Apr 08 15:19:02 +0000 2018,Fishermen protest over lack of control of UK waters post-Brexit https://t.co/jQRhEijGcD,89
89,0.0,0.0,1.0,0.0,BBCNews,Sun Apr 08 14:36:51 +0000 2018,UK wife-carrying contest takes place in Dorking https://t.co/wGxmIhLeg3,90
90,0.7003,0.0,0.746,0.254,BBCNews,Sun Apr 08 13:00:04 +0000 2018,"RT @BBCSport: Day 4 - Commonwealth Games #GC2018 

Rhys McClenaghan secured Northern Ireland's first medal of the 2018 Commonwealth Games 🏅…",91
91,-0.1531,0.127,0.873,0.0,BBCNews,Sun Apr 08 12:13:48 +0000 2018,Tony Blair believes NI deal 'still possible' but warns over Brexit https://t.co/2fh7fSuWfN,92
92,-0.4019,0.231,0.769,0.0,BBCNews,Sun Apr 08 10:58:31 +0000 2018,Man injured wrestling Derbyshire ram calls it 'public nuisance' https://t.co/jATTw9Hj9s,93
93,0.6249,0.0,0.579,0.421,BBCNews,Sun Apr 08 10:53:09 +0000 2018,Prince Charles reunited with fan who stole a kiss https://t.co/15fUOzfqr6,94
